-0.500000	-0.100000	 0.100000	-0.100000	 0.100000	
-0.540000	-0.103110	 0.055250	-0.103838	 0.091844	
-0.580000	-0.104407	 0.009530	-0.107344	 0.083395	
-0.620000	-0.103870	-0.036359	-0.110506	 0.074678	
-0.660000	-0.101507	-0.081608	-0.113315	 0.065723	
-0.700000	-0.097360	-0.125423	-0.115761	 0.056558	
-0.740000	-0.091502	-0.167034	-0.117837	 0.047211	
-0.780000	-0.084037	-0.205709	-0.119536	 0.037714	
-0.820000	-0.075094	-0.240769	-0.120852	 0.028096	
-0.860000	-0.064832	-0.271598	-0.121782	 0.018388	
-0.900000	-0.053430	-0.297654	-0.122323	 0.008621	
-0.940000	-0.041089	-0.318479	-0.122472	-0.001173	
-0.980000	-0.028026	-0.333706	-0.122229	-0.010964	
-1.020000	-0.014470	-0.343069	-0.121595	-0.020720	
-1.060000	-0.000660	-0.346403	-0.120572	-0.030409	
-1.100000	 0.013161	-0.343649	-0.119164	-0.040001	
-1.140000	 0.026752	-0.334855	-0.117374	-0.049466	
-1.180000	 0.039872	-0.320176	-0.115208	-0.058772	
-1.220000	 0.052291	-0.299870	-0.112674	-0.067890	
-1.260000	 0.063792	-0.274293	-0.109780	-0.076790	
-1.300000	 0.074171	-0.243896	-0.106534	-0.085446	
-1.340000	 0.083247	-0.209212	-0.102948	-0.093827	
-1.380000	 0.090859	-0.170852	-0.099032	-0.101909	
-1.420000	 0.096875	-0.129489	-0.094799	-0.109664	
-1.460000	 0.101188	-0.085850	-0.090263	-0.117069	
-1.500000	 0.103723	-0.040702	-0.085438	-0.124099	
-1.540000	 0.104435	 0.005162	-0.080340	-0.130732	
-1.580000	 0.103311	 0.050934	-0.074985	-0.136947	
-1.620000	 0.100372	 0.095811	-0.069390	-0.142724	
-1.660000	 0.095669	 0.139005	-0.063573	-0.148044	
-1.700000	 0.089284	 0.179755	-0.057553	-0.152890	
-1.740000	 0.081330	 0.217347	-0.051348	-0.157247	
-1.780000	 0.071947	 0.251118	-0.044979	-0.161102	
-1.820000	 0.061299	 0.280476	-0.038466	-0.164440	
-1.860000	 0.049574	 0.304904	-0.031831	-0.167253	
-1.900000	 0.036978	 0.323974	-0.025093	-0.169531	
-1.940000	 0.023731	 0.337350	-0.018275	-0.171266	
-1.980000	 0.010068	 0.344797	-0.011399	-0.172453	
-0.460000	-0.095133	 0.142993	-0.095842	 0.107836	
-0.420000	-0.088594	 0.183474	-0.091378	 0.115327	
-0.380000	-0.080498	 0.220729	-0.086621	 0.122449	
-0.340000	-0.070987	 0.254106	-0.081587	 0.129179	
-0.300000	-0.060228	 0.283016	-0.076292	 0.135496	
-0.260000	-0.048411	 0.306953	-0.070752	 0.141380	
-0.220000	-0.035743	 0.325494	-0.064987	 0.146811	
-0.180000	-0.022448	 0.338315	-0.059014	 0.151772	
-0.140000	-0.008758	 0.345190	-0.052852	 0.156248	
-0.100000	 0.005087	 0.345999	-0.046520	 0.160224	
-0.060000	 0.018841	 0.340727	-0.040041	 0.163687	
-0.020000	 0.032265	 0.329467	-0.033432	 0.166627	
 0.020000	 0.045122	 0.312417	-0.026717	 0.169034	
 0.060000	 0.057185	 0.289876	-0.019917	 0.170900	
 0.100000	 0.068244	 0.262241	-0.013053	 0.172219	
 0.140000	 0.078103	 0.229998	-0.006147	 0.172987	
 0.180000	 0.086590	 0.193712	 0.000779	 0.173202	
 0.220000	 0.093555	 0.154022	 0.007702	 0.172862	
 0.260000	 0.098876	 0.111624	 0.014601	 0.171970	
 0.300000	 0.102459	 0.067264	 0.021453	 0.170527	
 0.340000	 0.104241	 0.021722	 0.028236	 0.168539	
 0.380000	 0.104191	-0.024201	 0.034929	 0.166012	
 0.420000	 0.102311	-0.069699	 0.041510	 0.162953	
 0.460000	 0.098632	-0.113973	 0.047959	 0.159374	
 0.500000	 0.093219	-0.156243	 0.054254	 0.155284	
 0.540000	 0.086169	-0.195766	 0.060375	 0.150698	
 0.580000	 0.077604	-0.231849	 0.066303	 0.145629	
 0.620000	 0.067675	-0.263858	 0.072019	 0.140095	
 0.660000	 0.056557	-0.291229	 0.077505	 0.134112	
 0.700000	 0.044445	-0.313482	 0.082742	 0.127701	
 0.740000	 0.031552	-0.330226	 0.087715	 0.120881	
