 1.050000	-0.608458	 0.734040	 0.937712	 1.001825	 0.720920	-0.322571	-0.509171	-0.085798	-0.112462	 1.113537	-0.428541	-0.416027	
 1.080000	-0.579221	 0.764741	 1.013810	 1.046351	 0.705441	-0.324905	-0.522783	-0.069679	-0.126220	 1.100170	-0.491027	-0.476671	
 1.110000	-0.547445	 0.796934	 1.108310	 1.102048	 0.689552	-0.326747	-0.536404	-0.053077	-0.142107	 1.084820	-0.571906	-0.548971	
 1.140000	-0.512421	 0.831040	 1.233094	 1.175356	 0.673255	-0.328084	-0.550032	-0.035965	-0.160834	 1.067052	-0.683063	-0.639391	
 1.170000	-0.472898	 0.867762	 1.415185	 1.279759	 0.656549	-0.328900	-0.563661	-0.018322	-0.183652	 1.046145	-0.851524	-0.761437	
 1.200000	-0.426177	 0.908473	 1.737393	 1.451206	 0.639434	-0.329178	-0.577288	-0.000127	-0.213257	 1.020713	-1.160104	-0.951079	
 1.230000	-0.362945	 0.956886	 2.752866	 1.849409	 0.621911	-0.328902	-0.590906	 0.018623	-0.258966	 0.987025	-2.161960	-1.368031	
 1.260000	-0.315203	 0.918307	-0.987894	-2.171352	 0.603979	-0.328056	-0.604494	 0.037884	-0.288776	 1.039758	 1.592388	 2.633468	
 1.290000	-0.340086	 0.869299	-0.709167	-1.305075	 0.585640	-0.326625	-0.618054	 0.057560	-0.245555	 1.102336	 1.327221	 1.747514	
 1.320000	-0.359009	 0.835155	-0.563895	-1.006144	 0.566895	-0.324598	-0.631594	 0.077603	-0.207886	 1.149453	 1.195488	 1.428542	
 1.350000	-0.374379	 0.807664	-0.465922	-0.839682	 0.547743	-0.321965	-0.645124	 0.098006	-0.173365	 1.189312	 1.111046	 1.241676	
 1.380000	-0.387194	 0.784218	-0.391205	-0.729938	 0.528186	-0.318714	-0.658659	 0.118781	-0.140993	 1.224507	 1.049865	 1.111157	
 1.410000	-0.397986	 0.763562	-0.330055	-0.651022	 0.508222	-0.314834	-0.672221	 0.139945	-0.110236	 1.256284	 1.002276	 1.011077	
 1.440000	-0.407084	 0.744965	-0.277652	-0.591268	 0.487851	-0.310313	-0.685832	 0.161526	-0.080767	 1.285360	 0.963484	 0.929742	
 1.470000	-0.414706	 0.727955	-0.231258	-0.544524	 0.467070	-0.305138	-0.699520	 0.183557	-0.052365	 1.312195	 0.930778	 0.860967	
 1.500000	-0.421003	 0.712199	-0.189172	-0.507195	 0.445877	-0.299294	-0.713317	 0.206077	-0.024874	 1.337108	 0.902489	 0.801117	
 1.530000	-0.426088	 0.697451	-0.150261	-0.477026	 0.424268	-0.292767	-0.727256	 0.229135	 0.001820	 1.360330	 0.877518	 0.747891	
 1.560000	-0.430043	 0.683520	-0.113727	-0.452532	 0.402239	-0.285540	-0.741379	 0.252786	 0.027804	 1.382034	 0.855106	 0.699746	
 1.590000	-0.432930	 0.670252	-0.078978	-0.432701	 0.379782	-0.277593	-0.755731	 0.277096	 0.053148	 1.402356	 0.834709	 0.655604	
 1.620000	-0.434795	 0.657518	-0.045562	-0.416827	 0.356890	-0.268906	-0.770361	 0.302143	 0.077904	 1.421404	 0.815923	 0.614684	
 1.650000	-0.435673	 0.645207	-0.013111	-0.404419	 0.333555	-0.259456	-0.785330	 0.328017	 0.102118	 1.439264	 0.798441	 0.576402	
 1.680000	-0.435588	 0.633220	 0.018679	-0.395137	 0.309765	-0.249215	-0.800705	 0.354826	 0.125823	 1.456011	 0.782026	 0.540311	
 1.710000	-0.434556	 0.621469	 0.050077	-0.388763	 0.285507	-0.238155	-0.816565	 0.382699	 0.149050	 1.471703	 0.766487	 0.506064	
 1.740000	-0.432585	 0.609866	 0.081328	-0.385176	 0.260764	-0.226240	-0.833002	 0.411791	 0.171821	 1.486391	 0.751674	 0.473384	
 1.770000	-0.429675	 0.598330	 0.112666	-0.384339	 0.235518	-0.213432	-0.850127	 0.442291	 0.194158	 1.500120	 0.737461	 0.442048	
 1.800000	-0.425822	 0.586777	 0.144326	-0.386303	 0.209746	-0.199685	-0.868071	 0.474430	 0.216075	 1.512927	 0.723745	 0.411873	
 1.830000	-0.421010	 0.575122	 0.176554	-0.391206	 0.183422	-0.184946	-0.886995	 0.508498	 0.237588	 1.524843	 0.710441	 0.382708	
 1.860000	-0.415220	 0.563272	 0.209622	-0.399287	 0.156513	-0.169152	-0.907097	 0.544860	 0.258707	 1.535899	 0.697475	 0.354427	
 1.890000	-0.408421	 0.551128	 0.243838	-0.410914	 0.128980	-0.152226	-0.928623	 0.583991	 0.279441	 1.546117	 0.684785	 0.326923	
 1.920000	-0.400574	 0.538576	 0.279571	-0.426617	 0.100776	-0.134077	-0.951888	 0.626511	 0.299797	 1.555522	 0.672317	 0.300107	
 1.950000	-0.391626	 0.525482	 0.317276	-0.447160	 0.071844	-0.114592	-0.977300	 0.673259	 0.319783	 1.564130	 0.660024	 0.273900	
 1.980000	-0.381511	 0.511686	 0.357535	-0.473642	 0.042110	-0.093627	-1.005401	 0.725404	 0.339401	 1.571962	 0.647866	 0.248238	
 2.010000	-0.370140	 0.496987	 0.401124	-0.507690	 0.011483	-0.070996	-1.036932	 0.784625	 0.358657	 1.579030	 0.635807	 0.223065	
 2.040000	-0.357399	 0.481124	 0.449116	-0.551786	-0.020152	-0.046453	-1.072933	 0.853454	 0.377551	 1.585350	 0.623817	 0.198332	
 2.070000	-0.343134	 0.463740	 0.503067	-0.609927	-0.052952	-0.019653	-1.114935	 0.935927	 0.396086	 1.590934	 0.611868	 0.174000	
 2.100000	-0.327132	 0.444321	 0.565350	-0.689025	-0.087131	 0.009907	-1.165288	 1.038989	 0.414263	 1.595794	 0.599937	 0.150036	
