 0.000000	 2.356194	 0.785398	 0.000000	 0.000000	
 0.150000	 2.339890	 0.753879	-0.222580	-0.416162	
 0.300000	 2.286538	 0.663216	-0.501743	-0.777984	
 0.450000	 2.185240	 0.527296	-0.861117	-1.001751	
 0.600000	 2.026087	 0.376012	-1.260992	-0.958928	
 0.750000	 1.808859	 0.259287	-1.626129	-0.526512	
 0.900000	 1.538506	 0.239558	-1.997460	 0.337405	
 1.050000	 1.191443	 0.388170	-2.745259	 1.768653	
 1.200000	 0.692400	 0.778519	-3.689075	 3.021981	
 1.350000	 0.199496	 1.092076	-2.833137	 0.911420	
 1.500000	-0.184767	 1.052890	-2.306398	-1.389196	
 1.650000	-0.460883	 0.702156	-1.201609	-3.153040	
 1.800000	-0.501501	 0.125213	 0.744305	-4.624972	
 1.950000	-0.294096	-0.654738	 1.356636	-5.078021	
 2.100000	-0.221294	-1.278743	-0.361567	-3.364249	
 2.250000	-0.367179	-1.690591	-1.442780	-2.115790	
 2.400000	-0.614173	-1.903044	-1.750221	-0.702224	
 2.550000	-0.878764	-1.905350	-1.786600	 0.648552	
 2.700000	-1.163904	-1.710560	-2.074566	 1.952118	
 2.850000	-1.496899	-1.343531	-2.212267	 2.698921	
 3.000000	-1.775193	-0.972333	-1.429711	 2.190931	
 3.150000	-1.926470	-0.668093	-0.599240	 1.955087	
 3.300000	-1.952747	-0.365978	 0.271701	 2.105978	
 3.450000	-1.839210	-0.040457	 1.240130	 2.165459	
 3.600000	-1.593047	 0.247699	 1.965410	 1.525597	
 3.750000	-1.272963	 0.375829	 2.257307	 0.079103	
 3.900000	-0.904048	 0.244247	 2.824313	-1.976562	
 4.050000	-0.335605	-0.296796	 4.761233	-5.066585	
 4.200000	 0.256739	-0.846215	 3.032780	-1.870605	
 4.350000	 0.664847	-0.916929	 2.551225	 0.820687	
 4.500000	 1.006148	-0.634141	 1.812416	 2.747699	
 4.650000	 1.153699	-0.158610	 0.042656	 3.480031	
 4.800000	 0.994457	 0.447985	-2.260278	 4.947253	
 4.950000	 0.591897	 1.237660	-2.176702	 4.485171	
 5.100000	 0.396470	 1.755775	-0.623114	 2.747142	
 5.250000	 0.366096	 2.117300	 0.139852	 2.152642	
 5.400000	 0.420560	 2.411692	 0.536873	 1.782254	
 5.550000	 0.514413	 2.652905	 0.679216	 1.436092	
 5.700000	 0.615946	 2.843930	 0.653534	 1.118451	
 5.850000	 0.705861	 2.991327	 0.534654	 0.857738	
 6.000000	 0.774138	 3.104576	 0.370936	 0.662930	
 6.150000	 0.816225	 3.193102	 0.188435	 0.525781	
 6.300000	 0.830371	 3.264379	-0.000229	 0.429972	
 6.450000	 0.816146	 3.323287	-0.189171	 0.358169	
 6.600000	 0.773781	 3.372353	-0.374848	 0.297117	
 6.750000	 0.704077	 3.412700	-0.552680	 0.242049	
 6.900000	 0.608790	 3.445629	-0.714045	 0.200713	
 7.050000	 0.491401	 3.474698	-0.844496	 0.195478	
 7.200000	 0.357920	 3.507768	-0.925478	 0.260180	
